article_id,entity,entity_type,topic,sentiment
426218,European,NORP,6,0.2952
426218,Russian,NORP,6,0.2952
426218,European,NORP,6,0.2952
426218,Russian,NORP,6,0.2952
426218,Russia,GPE,6,0.2952
426218,Ukraine,GPE,6,0.2952
426218,The CERN Council,ORG,6,0.2952
426218,Geneva,GPE,6,0.2952
426218,23,CARDINAL,6,0.2952
426218,Friday,DATE,6,0.2952
426218,Russia,GPE,6,0.2952
426218,Belarus,ORG,6,0.2952
426218,Russian,NORP,6,0.2952
426218,Feb. 24,DATE,6,0.2952
426218,CERN,GPE,6,0.2952
426218,the European Organization for Nuclear Research,ORG,6,0.2952
426218,nearly 7%,PERCENT,6,0.2952
426218,"18,000-odd",CARDINAL,6,0.2952
426218,Russian,NORP,6,0.2952
426218,March 8,DATE,6,0.2952
426218,Russia,GPE,6,0.2952
426218,Russia,GPE,6,0.2952
426218,Russia,GPE,6,0.2952
426218,third,ORDINAL,6,0.2952
426218,next month,DATE,6,0.2952
426218,27-kilometer,QUANTITY,6,0.2952
426218,17-mile,QUANTITY,6,0.2952
426218,Geneva,GPE,6,0.2952
426218,Russian,NORP,6,0.2952
426218,Friday,DATE,6,0.2952
426218,CERN,GPE,6,0.2952
426218,Russian,NORP,6,0.2952
426218,Russia,GPE,6,0.2952
426218,Belarus,GPE,6,0.2952
426218,the Joint Institute for Nuclear Research,ORG,6,0.2952
426218,19,CARDINAL,6,0.2952
426218,Dubna,GPE,6,0.2952
426218,Russia,GPE,6,0.2952
426218,More than half,CARDINAL,6,0.2952
426218,Soviet,NORP,6,0.2952
426218,Ukraine,GPE,6,0.2952
426218,Cuba,GPE,6,0.2952
426218,the Czech Republic,GPE,6,0.2952
426218,Poland,GPE,6,0.2952
426218,North Korea,GPE,6,0.2952
426218,Vietnam,GPE,6,0.2952
426824,Pfizer,ORG,5,-0.9952
426824,Apple,ORG,5,-0.9952
426824,Pepsi,ORG,5,-0.9952
426824,Starbucks,ORG,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Deirdre Bolton,PERSON,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Vladimir Putin,PERSON,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Kay Jewelers,ORG,5,-0.9952
426824,Zales,PERSON,5,-0.9952
426824,March 17,DATE,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,March 14,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,Pfizer,PERSON,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,first,ORDINAL,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Today,DATE,5,-0.9952
426824,Pfizer,ORG,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,March 11,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Deutsche Bank,ORG,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,2014,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,non-Russian,NORP,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,March 10,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Belarus,GPE,5,-0.9952
426824,The Western Union Company,ORG,5,-0.9952
426824,NYSE,ORG,5,-0.9952
426824,WU,ORG,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,American,NORP,5,-0.9952
426824,March 10,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,March 10,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Goldman Sachs,ORG,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Andrea Williams,PERSON,5,-0.9952
426824,Japan,GPE,5,-0.9952
426824,March 10,DATE,5,-0.9952
426824,Fast Retailing,ORG,5,-0.9952
426824,Uniqlo,ORG,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,UNIQLO,ORG,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,today,DATE,5,-0.9952
426824,Fast Retailing,PERSON,5,-0.9952
426824,March 9,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Belarusian,NORP,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,American,NORP,5,-0.9952
426824,March 8,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Russian,NORP,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Last week,DATE,5,-0.9952
426824,Apple Pay,ORG,5,-0.9952
426824,RT News,ORG,5,-0.9952
426824,Sputnik News,ORG,5,-0.9952
426824,App Store,PERSON,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Apple Maps,ORG,5,-0.9952
426824,Ukraine,GPE,5,-0.9952
426824,Ukrainian,NORP,5,-0.9952
426824,Pepsi,ORG,5,-0.9952
426824,Lays,GPE,5,-0.9952
426824,Mountain Dew,PERSON,5,-0.9952
426824,Gatorade,GPE,5,-0.9952
426824,Aquafina,GPE,5,-0.9952
426824,Tropicana,ORG,5,-0.9952
426824,March 8,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Ramon Laguarta,PERSON,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,daily,DATE,5,-0.9952
426824,McDonald's,ORG,5,-0.9952
426824,American,NORP,5,-0.9952
426824,March 8,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,McDonald's,ORG,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,March 8,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,today,DATE,5,-0.9952
426824,Russia,GPE,5,-0.9952
426824,Starbucks,ORG,5,-0.9952
